"NAME","ADDRESS","CERTNO"
"Cheezy Flicks                 ","090 Kenwood Road","67066403133991100"
"Miracle Pictures              ","7 Mallory Street","3576903438405370"
"Image                         ","48 Eastlawn Road","372301805013275"
"Excalibur Media Group         ","409 Del Mar Circle","5565885744095450"
"Venus Pictures                ","7226 Moland Trail","3567380968409240"
"New Horizons                  ","687 Browning Lane","3556032704501270"
"Columbia/Tri-Star             ","0 Moulton Circle","5442537385879570"
"Fox Lorber                    ","80 Sherman Terrace","5139266893825610"
"Garr Group                    ","3 Hauk Lane","3561030503348770"
"Universal Music & Video       ","98 Derek Lane","376427721633569"
"Word Films                    ","5 Calypso Avenue","30387708104992"
"Accentus                      ","781 Hanson Plaza","5020343712801880000"
"BCI Eclipse / Brentwood       ","0 Onsgard Pass","490377652406734000"
"Trinity Home Entertainment    ","72799 Fallview Hill","63043439897271600"
"Passport Video                ","9748 Dottie Trail","6304749952720380"
"Mute Records                  ","42 Hintze Pass","3554833497707360"
"John Wiley & Sons             ","4395 Holmberg Park","3570131024137730"
"Kino Lorber Studio Classics   ","794 Sommers Crossing","3546898410904340"
"CypherStyles.com              ","06 Hudson Terrace","5602252701856150"
"Asylum Records                ","68727 Ramsey Hill","3580938831139460"
"Univision Music Group         ","833 Melrose Way","6771255418989810"
"JSA Records                   ","38 Anhalt Park","3532421937280040"
"Kino Lorber                   ","49956 Evergreen Court","30402224210825"
"Actes Sud                     ","728 Dryden Trail","490530167044672000"
"Shanachie                     ","44 Mandrake Place","3537709548047210"
"Frontiers                     ","17 Mallard Place","3555907846602990"
"Reel Enterprises              ","9 Fulton Terrace","4770989492184430"
"Platinum                      ","85876 Darwin Parkway","3552050463402470"
"Delta Entertainment           ","4413 Emmet Circle","201916941271987"
"Playa Films                   ","4 Canary Place","560225208643164000"
"GoodTimes Media               ","30715 Esch Way","4903276478647070"
"Koch Records                  ","11 Glendale Way","63044415868674800"
"Adopt Films                   ","4 Mandrake Plaza","3548702569414330"
"WEA                           ","72 Oak Valley Street","3580525647873660"
"First Look                    ","75 Susan Alley","3571298210025680"
"American Pop Classics         ","3853 Darwin Center","3542460404201420"
"Global Lens                   ","970 Iowa Circle","5602219786829010"
"Typecast Releasing            ","03779 Blaine Lane","5610420286984230"
"CBS                           ","085 Garrison Junction","3587571929759020"
"Mill Creek Entertainment      ","61 Manley Trail","5641820430323940"
"Vendetta Filmworks            ","6957 Bluestem Place","4905320532073910000"
"Breaking Glass Pictures       ","44176 Gerald Place","3585376890450230"
"Xenon                         ","70 Goodland Parkway","5465205901391810"
"Televista                     ","744 Pleasure Way","56022181096331300"
"S'More Entertainment          ","5 Huxley Parkway","5048379742925220"
"Cookie Jar Entertainment      ","666 Victoria Parkway","50208268371784400"
"Sony Music                    ","994 4th Circle","604014044691427"
"MSI Music                     ","1 Bartillon Hill","3548274854846990"
"Addison-Wesley                ","1 Everett Trail","491101188409214000"
"Indie Rights                  ","40 Hooker Road","56022249670004600"
"Seedsman Group                ","63 Stang Place","4037420055098370"
"EuroArts                      ","26 Atwood Terrace","3537218393300260"
"Metal Mind Records            ","963 Graceland Avenue","3542830860862770"
"Store For Music               ","96 Washington Parkway","3543114376455770"
"USA                           ","685 Washington Trail","3544626780900320"
"Tai Seng                      ","532 Tennyson Center","3532927758549130"
"Diamond Entertainment         ","7136 Village Parkway","30240998166694"
"Celebrity                     ","74 Mcbride Trail","3530866047331860"
"PBS                           ","035 Superior Avenue","345586469413738"
"Koch Lorber                   ","7294 Morrow Trail","6331106754020700"
"MathTutorDVD                  ","2952 1st Court","5048377395366020"
"Unicine                       ","52 Duke Point","6304464474875560000"
"EMI France                    ","4623 Gina Avenue","3577519721791070"
"Universal                     ","9 Everett Way","633395977160924000"
"Vivid                         ","3052 Daystar Avenue","4911704573710330000"
"Pondo Enterprises             ","14 Hansons Drive","5410319606533670"
"MGM/UA                        ","01 Evergreen Way","5602239247880700"
"Madacy                        ","332 Carpenter Center","4017957368489050"
"Efor Films                    ","4 Cordelia Avenue","4017950627554"
"Idem Home Video               ","21541 Hallows Court","3542519195750570"
"Diamante Films                ","25 Oxford Drive","3568493134427020"
"Kultur                        ","9288 Schmedeman Crossing","3550346992204890"
"Desert Mountain Media         ","2265 Dapin Drive","3535274418801070"
"Laguna Films                  ","45 1st Lane","3572819176457120"
"West Coast Mafia              ","67519 Tony Way","3565389306745840"
"Sony Japan                    ","3 Shasta Place","491102463018930000"
"Republic Pictures             ","410 Carioca Terrace","560222814322294000"
"Universal Music Latino        ","0949 Dunning Circle","201676461204020"
"Tapeworm                      ","4 Tomscot Junction","5602237811123400000"
"NYFA Film Archives            ","8192 Redwing Street","36931475274639"
"Raro Video USA                ","629 Ridge Oak Plaza","370503559154823"
"Decon                         ","88 Arkansas Place","30422892554379"
"TLC                           ","9 Moulton Point","4936816976808710000"
"Cerebellum                    ","28 Parkside Way","56022125255453000"
"Jef Films                     ","838 Clyde Gallagher Avenue","3559299869179140"
"Discovery Education           ","47 Golf Lane","372301317609503"
"Woodhaven                     ","4977 Ilene Point","67091626933608100"
"Anchor Bay                    ","74 Killdeer Way","3588226527992560"
"Producciones Albaran B&M      ","139 1st Park","3549382872164180"
"Cherry Red                    ","8178 Ramsey Street","36166077923370"
"Alpha Video                   ","9417 Artisan Circle","3539756972339030"
"Wesscott Marketing            ","5 Badeau Parkway","3577687795860540"
"Mode                          ","1088 Stoughton Court","3561096950831110"
"Desert Island Films           ","455 Eastlawn Court","3577615184063130"
"Visual Entertainment          ","62 Lawn Street","4844021150157110"
"Universal Music International ","682 Artisan Point","3533445299917910"
"Tell Me Why                   ","81130 Caliangt Terrace","4405818081856220"
"VIP Learning                  ","6589 Hagan Pass","3556388904764460"
"Super D                       ","6539 Russell Court","3550101317896820"
"Heinemann                     ","91 Mccormick Court","3587563831017160"
"Entertainment Distributing    ","2 Orin Park","3552940530646910"
"Netflix                       ","0 Jay Road","3589110584821570"
"Latin Vision                  ","7791 Corscot Parkway","3551034853609710"
"Earthling Press               ","63 Gina Point","3532303840222200"
"Prentice Hall                 ","3 Dixon Avenue","3583017480200150"
"Teaching Art                  ","23226 Scofield Park","5610986212986280000"
"Goldhil Home Media            ","88077 Ramsey Parkway","4041599749272"
"Asian Crush                   ","0431 Arrowood Circle","3583110701880110"
"Shami Production              ","8 Golf Course Alley","3529418856374740"
"Vina Distributor              ","17 Oxford Parkway","3582647691519460"
"Jive Records                  ","89 Leroy Plaza","5333227455591220"
"Sector 5 Films                ","38 Russell Crossing","3553878752076010"
"Sony Norte                    ","9737 Dakota Trail","201547962623945"
"BNN                           ","202 Hansons Court","3562706360661100"
"Houghton Mifflin College Div. ","12107 Mcguire Plaza","3561670935807360"
"Video Aided Instruction       ","2086 Artisan Pass","3578201623776180"
"New West Records              ","11410 Mariners Cove Alley","3536267275887940"
"Phoenix Entertainment Group   ","7 Sheridan Street","63046519607441100"
"St. Clair Entertainment       ","768 Dixon Pass","3557170451781210"
"IFC                           ","89 Utah Point","5355235908784980"
"DistriMax                     ","771 Morningstar Drive","560224580002172000"
"Osiris Entertainment          ","9122 Knutson Parkway","5596178874775180"
"A2ZCDS                        ","36141 Sachtjen Drive","3541909960871630"
"Morningstar Entertainment     ","02042 Thackeray Pass","3562917295753580"
"Gravitas Ventures             ","1 Toban Park","560223870611558000"
"Postcard Video                ","5713 Golden Leaf Terrace","3535922121006940"
"Green Apple Entertainment     ","0913 Green Ridge Parkway","3589909679822050"
"Buena Vista                   ","3192 Corben Way","3536555382371120"
"Sony Pictures                 ","8596 Buell Circle","5550250061278580"
"Fuel 2000                     ","390 Pawling Circle","30358870555626"
"Univ. of Arkansas Press       ","73680 Monterey Plaza","58935583081643600"
"Maverick Entertainment Group  ","6095 Veith Court","3540592776071820"
"Timeless Multimedia           ","63 Village Green Park","378384732196698"
"Acorn Media                   ","8 Schiller Lane","3572885601568650"
"IFC Midnight                  ","030 Glacier Hill Court","4041596454128450"
"Indican Pictures              ","203 Golf Crossing","30223667437778"
"Eros Entertainment            ","644 Nevada Trail","633378920830949000"
"Equinoxe Canada               ","56 Arkansas Parkway","5174396094817010"
"Terra                         ","939 Dapin Parkway","4911303325601790"
"A&E Video                     ","9853 Commercial Avenue","3549092985967930"
"Fenix Pictures                ","64980 Mesta Trail","3584134372918880"
"Bennett-Watt Media            ","59010 Fallview Center","3545920013348190"
"AIX Records                   ","2897 Dryden Road","3576002173533000"
"Peach DVD                     ","08113 Sherman Terrace","3565808016365410"
"FilmRise                      ","0949 Twin Pines Place","3551124655882080"
"Lions Gate                    ","27024 Roth Street","3538042089443920"
"White Knuckle Xtreme          ","689 Meadow Ridge Lane","3568821244092880"
"Oxford University Press       ","3834 Summerview Street","3578312768550580"
"IRMovies.com                  ","4763 Little Fleur Parkway","343540929671478"
"Grapevine Video               ","324 Green Ridge Parkway","30460758368138"
"Grupo Nuevo Imagen            ","0 Columbus Drive","3538962557807190"
"Chris Felver                  ","55074 Kings Avenue","5100177732383220"
"United American               ","69 Melrose Pass","201612735485616"
"Dialogue International        ","6740 Montana Point","3555794660085200"
"Music Video Distributors      ","90174 Cascade Trail","4175004331217390"
"Level 33 Entertainment        ","021 Killdeer Trail","3531455975536670"
"Sony Wonder                   ","779 Waxwing Parkway","30277129863062"
"Cinema Libre                  ","59020 Jackson Parkway","4041596640433"
"Cali Swangin'                 ","4201 Burrows Place","6373199700602500"
"Learning ZoneXpress           ","68238 Truax Street","3561514993381050"
"TVA International             ","49077 Sherman Alley","60446165821848900"
"NTCI                          ","1959 Crescent Oaks Drive","4574362823142080"
"Mongrel Media                 ","52199 Fairfield Lane","30281955991195"
"Machete Music                 ","91268 Donald Park","3532078251827140"
"Progressive Arts & Music      ","012 Carey Center","3546066171418810"
"Maya Entertainment            ","2159 Magdeline Junction","4936377444794440"
"Tipica Records                ","60431 Rowland Lane","6767915309231390"
"Quarterstick                  ","7204 Algoma Circle","5020715431706740000"
"Eastern Star                  ","8 Lindbergh Drive","3576605325595590"
"Vision Video                  ","64419 Bowman Street","6762692720916580"
"Screen Media Films            ","8218 Pepper Wood Court","3528004958293960"
"Magnolia Pictures             ","4 Mariners Cove Alley","5543573683516420"
"Direct Source                 ","65959 Clemons Park","5007663028681380"
"Studio Latino                 ","5484 Express Court","6706327696777810"
"JC Films                      ","85047 Surrey Place","3528309365366940"
"Front Row                     ","1103 Memorial Trail","3570428048617890"
"Drummond & Smith Entertainment","68268 Merrick Parkway","3585340241230540"
"Phase 4 Films                 ","945 Sunnyside Drive","6377213802962710"
"Universal Records Argentina   ","96 Atwood Park","3575270985070730"
"New Video                     ","5442 Autumn Leaf Avenue","6304278783750000000"
"RGB Arte Visual               ","75713 Clyde Gallagher Circle","374622209029437"
"Strand                        ","0036 Old Gate Parkway","3571040378589040"
"Paramount                     ","17 Anthes Way","50381792314597300"
"FUNimation                    ","9 Eagan Alley","5602210715104980"
"Vanguard                      ","95 Grayhawk Terrace","3574457644748240"
"Warner Brothers Digital Dist. ","31 Buena Vista Hill","374288950742659"
"Homespun                      ","6690 Anthes Terrace","337941403856940"
"WEA Latina                    ","10532 Buell Way","5048371841870100"
"Westar                        ","661 Hovde Way","4898961912894140"
"Brooks/Cole Publishing        ","995 Corben Alley","3572634300745480"
"Zeitgeist                     ","22957 Holmberg Park","501853920846915000"
"Open University               ","03 West Alley","3564220530996180"
"Hart Sharp Video              ","624 Bunker Hill Point","30537696811525"
"Warner Brothers               ","703 Kedzie Terrace","633110731940413000"
"Kino                          ","400 Birchwood Pass","3588587863112540"
"MTI                           ","1 La Follette Road","3566348375636920"
"Definitive Jux                ","1 Gina Place","5602245765189340"
"Percussioni DJ                ","9865 Elka Point","58938070238365400"
"Fox                           ","0122 Morningstar Lane","4508711123760770"
"AIMS Multimedia               ","72 Hoepker Lane","6709051031464760"
"Pathfinder                    ","00226 Meadow Ridge Point","201745643800169"
"Alliance Atlantis             ","3 Havey Terrace","676747997282415000"
"Beauty Media                  ","9 Monica Place","56022110636493200"
"Topics Entertainment          ","7 Tony Lane","3530191647419730"
"Fairchild Books               ","19670 Heffernan Junction","6767115307334690000"
"Hoop Haven                    ","44 7th Drive","5602240496946240"
"Tekila Films                  ","7013 Maple Wood Place","337941458297560"
"URC Media Studios             ","20 Bunting Hill","3582438295712580"
"Time Life                     ","320 Northwestern Center","50206372712395100"
"Shout! Factory                ","4566 Knutson Road","5602243524703290"
"Venevision                    ","42 Veith Parkway","3545735689924520"
"SISU Home Entertainment       ","98 Little Fleur Park","560223692937854000"
"Kung Fu Films                 ","27 Kinsman Terrace","3532421337346160"
"Films for the Humanities ...  ","911 Eliot Hill","5602215903700960000"
"Wild Eye Releasing            ","74 Washington Lane","3589288088870330"
"Weston Woods                  ","47800 Dixon Pass","3557998010326520"
"JVC Japan                     ","8456 Farmco Center","5492395778197660"
"World Wide Multi Media        ","24505 Westridge Crossing","3543943889912550"
"Audio Fidelity                ","097 Hazelcrest Alley","3535265855280340"
"Libros Sin Fronterras         ","552 John Wall Place","3581457287616080"
"Thump Records                 ","3075 Park Meadow Place","5130018922464020"
"Nazca Plains                  ","5 Summerview Terrace","5159279126081130"
"Parade Video                  ","668 Gerald Street","201972006214016"
"CustomFlix                    ","08019 Pleasure Circle","374283686922014"
"","",""
